"id","linnworks_code","product_name","category","supplier","invoice_currency","landed_price_gbp","sp1_value_gbp","sp2_value_gbp","sp3_value_gbp","sale_price_gbp","landed_price_eur","sp1_value_eur","sp2_value_eur","sp3_value_eur","sale_price_euro","import_dates","error"
"6503","H-THR08204SKY","Pillow Sham - Dotty (Darcy) - Sky Blue - 50 x 75 cm (SF1840)","Bed Linen - Local","RICHING","GBP","0","0","0","0",,"0","0","0","0",,,
"6504","H-THR11101CH","Bedspread - Verona (Lisbon) - Cream (Champagne) - 190 x 260 cm (Single) (SF1833A)","Bedspreads","RICHING","GBP","0","0","0","0",,"0","0","0","0",,,
"6505","H-THR11101GRY","Bedspread - Verona (Lisbon) - Grey - 190 x 260 cm (Single) (SF1835A)","Bedspreads","RICHING","GBP","0","0","0","0",,"0","0","0","0",,,
"6506","H-THR11101WH","Bedspread - Verona (Lisbon) - White - 190 x 260 cm (Single) (SF1831A)","Bedspreads","RICHING","GBP","0","0","0","0",,"0","0","0","0",,,
"6507","H-THR11102CH","Bedspread - Verona (Lisbon) - Cream (Champagne) - 240 x 260 cm (Double) (SF1833B)","Bedspreads","RICHING","GBP","0","0","0","0",,"0","0","0","0",,,
"6508","H-THR11102GRY","Bedspread - Verona (Lisbon) - Grey - 240 x 260 cm (Double) (SF1835B)","Bedspreads","RICHING","GBP","0","0","0","0",,"0","0","0","0",,,
"6509","H-THR11102WH","Bedspread - Verona (Lisbon) - White - 240 x 260 cm (Double) (SF1831B)","Bedspreads","RICHING","GBP","0","0","0","0",,"0","0","0","0",,,
"6510","LLTBQS-D","Lipsy London - Translucent Bloom - Quilt Set - Double (BS1274B)","Designer Bed Linen","ASHLEYW","GBP","30.04","54.07","60.08","75.1",,"33.64","68.97","75.7","92.52",,,
"6511","LLTBQS-K","Lipsy London - Translucent Bloom - Quilt Set - King (BS1274C)","Designer Bed Linen","ASHLEYW","GBP","34.34","61.81","68.68","85.85",,"38.46","78.84","86.54","105.77",,,
"6512","LLTBQS-S","Lipsy London - Translucent Bloom - Quilt Set - Single (BS1274A)","Designer Bed Linen","ASHLEYW","GBP","20.42","36.76","40.84","51.05",,"22.87","46.88","51.46","62.89",,,
"6513","LLTBQS-SK","Lipsy London - Translucent Bloom - Quilt Set - Super King (BS1274D)","Designer Bed Linen","ASHLEYW","GBP","37.57","67.63","75.14","93.93",,"42.08","86.26","94.68","115.72",,,
"6514","LLWLFC-45","Lipsy London - Watercolour Lily - Filled Cushion - 45 x 45 cm (BS1277)","Designer Bed Linen","ASHLEYW","GBP","8","14.4","16","20",,"8.96","18.37","20.16","24.64",,,
"6515","LLWLQS-D","Lipsy London - Watercolour Lily - Quilt Set - Double (BS1276B)","Designer Bed Linen","ASHLEYW","GBP","30.04","54.07","60.08","75.1",,"33.64","68.97","75.7","92.52",,,
"6516","LLWLQS-K","Lipsy London - Watercolour Lily - Quilt Set - King (BS1276C)","Designer Bed Linen","ASHLEYW","GBP","34.34","61.81","68.68","85.85",,"38.46","78.84","86.54","105.77",,,
"6517","LLWLQS-S","Lipsy London - Watercolour Lily - Quilt Set - Single (BS1276A)","Designer Bed Linen","ASHLEYW","GBP","20.42","36.76","40.84","51.05",,"22.87","46.88","51.46","62.89",,,
"6518","LLWLQS-SK","Lipsy London - Watercolour Lily - Quilt Set - Super King (BS1276D)","Designer Bed Linen","ASHLEYW","GBP","37.57","67.63","75.14","93.93",,"42.08","86.26","94.68","115.72",,,
"6519","LOGARUGMONO120170","Rug - Logan - Black & White - 120 x 170 cm (RU1301C)","Rugs","THREEANG","GBP","25.97","58.44","64.94","103.9",,"29.09","72.73","80","123.64",,,
"6520","LOGARUGMONO150240","Rug - Logan - Black & White - 150 x 240 cm (RU1301D)","Rugs","THREEANG","GBP","49.84","112.14","124.61","199.37",,"55.82","139.56","153.51","237.25",,,
"6521","LOGARUGMONO66200","Rug - Logan - Black & White - 66 x 200 cm Runner (RU1301A)","Rugs","THREEANG","GBP","16.85","37.91","42.12","67.39",,"18.87","47.17","51.89","80.2",,,
"6522","LOGARUGMONO70120","Rug - Logan - Black & White - 70 x 120 cm (RU1301B)","Rugs","THREEANG","GBP","13.63","30.67","34.08","54.52",,"15.27","38.17","41.98","64.88",,,
"6523","LUX4PCBLU","Luxury Combed Cotton Towel 500 GSM - 4 PIECE BALE - Blue (BT1231-4BALE)","Bath - Towels","TERRYTEX","USD","6.86","17.15","20.58","27.44",,"7.76","21.35","25.23","33",,,
"6524","LUX4PCCHE","Luxury Combed Cotton Towel 500 GSM - 4 PIECE BALE - Chestnut (BT1233-4BALE)","Bath - Towels","TERRYTEX","USD","6.86","17.15","20.58","27.44",,"7.76","21.35","25.23","33",,,
"6525","LUX4PCCRE","Luxury Combed Cotton Towel 500 GSM - 4 PIECE BALE - Cream (BT1234-4BALE)","Bath - Towels","TERRYTEX","USD","6.86","17.15","20.58","27.44",,"7.76","21.35","25.23","33",,,
