id,item_number,item_title,barcode_number,category_name,supp_name,supp_id,heights,widths,depths,weights
2098,CURLEONWAVELGRY-9054,Leon Wave (9579) - Curtain Pair - Pencil Pleat - Light Grey - 90 x 54 Inches (SF1612G),5.05597E+12,Curtains,THREEANG,a5e92fbe-39a4-4d5d-839a-20e8502dc4ef,0,0,0,2972
2099,CURLEONWAVELGRY-9072,Leon Wave (9579) - Curtain Pair - Pencil Pleat - Light Grey - 90 x 72 Inches (SF1612H),5.05597E+12,Curtains,THREEANG,a5e92fbe-39a4-4d5d-839a-20e8502dc4ef,0,0,0,3650
2100,CURLEONWAVELGRY-9090,Leon Wave (9579) - Curtain Pair - Pencil Pleat - Light Grey - 90 x 90 Inches (SF1612I),5.05597E+12,Curtains,THREEANG,a5e92fbe-39a4-4d5d-839a-20e8502dc4ef,0,0,0,4362
2101,CURLEONWAVELGRY-TIE,Leon Wave (9579) - Tie Back Pair - Light Grey (SF1613),5.05597E+12,Curtains,THREEANG,a5e92fbe-39a4-4d5d-839a-20e8502dc4ef,0,0,0,200
2102,CURLEONWAVEPNK-4554,Leon Wave (9579) - Curtain Pair - Pencil Pleat - Pink - 46 x 54 Inches (SF1621A),5.05597E+12,Curtains,THREEANG,a5e92fbe-39a4-4d5d-839a-20e8502dc4ef,0,0,0,1625
2103,CURLEONWAVEPNK-4672,Leon Wave (9579) - Curtain Pair - Pencil Pleat - Pink - 46 x 72 Inches (SF1621B),5.05597E+12,Curtains,THREEANG,a5e92fbe-39a4-4d5d-839a-20e8502dc4ef,0,0,0,2037
2104,CURLEONWAVEPNK-4690,Leon Wave (9579) - Curtain Pair - Pencil Pleat - Pink - 46 x 90 Inches (SF1621C),5.05597E+12,Curtains,THREEANG,a5e92fbe-39a4-4d5d-839a-20e8502dc4ef,0,0,0,2425
2105,CURLEONWAVEPNK-6654,Leon Wave (9579) - Curtain Pair - Pencil Pleat - Pink - 66 x 54 Inches (SF1621D),5.05597E+12,Curtains,THREEANG,a5e92fbe-39a4-4d5d-839a-20e8502dc4ef,0,0,0,3000
2106,CURLEONWAVEPNK-6672,Leon Wave (9579) - Curtain Pair - Pencil Pleat - Pink - 66 x 72 Inches (SF1621E),5.05597E+12,Curtains,THREEANG,a5e92fbe-39a4-4d5d-839a-20e8502dc4ef,0,0,0,3312
2107,CURLEONWAVEPNK-6690,Leon Wave (9579) - Curtain Pair - Pencil Pleat - Pink - 66 x 90 Inches (SF1621F),5.05597E+12,Curtains,THREEANG,a5e92fbe-39a4-4d5d-839a-20e8502dc4ef,0,0,0,3650
