"id","web_sku","linnworks_code","web_price_uk","web_sale_price_uk","web_price_fr","web_sale_price_fr","web_price_de","web_sale_price_de","web_price_dm","web_sale_price_dm","web_price_tesco","web_sale_price_tesco"
"9087","BL1396B","H-DVT40702GRA","29.99","29.99","39.99","39.99","39.99","39.99","34.90","34.90",,"34.90"
"9088","BL1396C","H-DVT40703GRA","36.99","36.99","47.99","47.99","47.99","47.99","41.90","41.90",,"41.90"
"9089","BL1396D","H-DVT40704GRA","39.99","39.99","52.99","52.99","52.99","52.99","44.90","44.90",,"44.90"
"9090","BL1397A","H-DVT40901","17.99","17.99","23.99","23.99","23.99","23.99","22.90","22.90",,"22.90"
"9091","BL1397B","H-DVT40902","28.99","28.99","37.99","37.99","37.99","37.99","33.90","33.90",,"33.90"
"9092","BL1398A","H-DVT41001","24.99","24.99","28.99","28.99","28.99","28.99","29.90","29.90",,"29.90"
"9093","BL1398B","H-DVT41002","32.99","32.99","42.99","42.99","42.99","42.99","37.90","37.90",,"37.90"
"9094","BL1399A","H-DVT41101","22.99","22.99","29.99","29.99","29.99","29.99","27.90","27.90",,"27.90"
"9095","BL1399B","H-DVT41102","29.99","29.99","38.99","38.99","38.99","38.99","34.90","34.90",,"34.90"
"9098","MP1126A","H-MAT02101","24.99","24.99","32.99","32.99","32.99","32.99","29.90","29.90",,"29.90"
"9099","MP1126B","H-MAT02102","29.99","29.99","39.99","39.99","39.99","39.99","34.90","34.90",,"34.90"
"9100","MP1126C","H-MAT02103","39.99","39.99","52.99","52.99","52.99","52.99","44.90","44.90",,"44.90"
"9101","MP1126D","H-MAT02104","44.99","44.99","59.99","59.99","59.99","59.99","49.90","49.90",,"49.90"
"9105","BT1297A","H-TOW03501APP","0.99","0.99","1.3","1.3","1.3","1.3","5.90","5.90",,"5.90"
"9106","BT1298A","H-TOW03501BUR","0.99","0.99","1.3","1.3","1.3","1.3","5.90","5.90",,"5.90"
"9107","BT1299A","H-TOW03501CH","0.99","0.99","1.3","1.3","1.3","1.3","5.90","5.90",,"5.90"
"9108","BT1300A","H-TOW03501GRE","0.99","0.99","1.3","1.3","1.3","1.3","5.90","5.90",,"5.90"
"9109","BT1301A","H-TOW03501HON","0.99","0.99","1.3","1.3","1.3","1.3","5.90","5.90",,"5.90"
"9110","BT1302A","H-TOW03501KIN","0.99","0.99","1.3","1.3","1.3","1.3","5.90","5.90",,"5.90"
"9111","BT1303A","H-TOW03501SEA","0.99","0.99","1.3","1.3","1.3","1.3","5.90","5.90",,"5.90"
"9112","BT1304A","H-TOW03501ST","0.99","0.99","1.3","1.3","1.3","1.3","5.90","5.90",,"5.90"
"9113","BT1305A","H-TOW03501WH","0.99","0.99","1.3","1.3","1.3","1.3","5.90","5.90",,"5.90"
"9114","BT1297B","H-TOW03502APP","3.99","3.99","5","5","5","5","8.90","8.90",,"8.90"
"9115","BT1298B","H-TOW03502BUR","3.99","3.99","5","5","5","5","8.90","8.90",,"8.90"
"9116","BT1299B","H-TOW03502CH","3.99","3.99","5","5","5","5","8.90","8.90",,"8.90"
"9117","BT1300B","H-TOW03502GRE","3.99","3.99","5","5","5","5","8.90","8.90",,"8.90"
"9118","BT1301B","H-TOW03502HON","3.99","3.99","5","5","5","5","8.90","8.90",,"8.90"
"9119","BT1302B","H-TOW03502KIN","3.99","3.99","5","5","5","5","8.90","8.90",,"8.90"
"9120","BT1303B","H-TOW03502SEA","3.99","3.99","5","5","5","5","8.90","8.90",,"8.90"
"9121","BT1304B","H-TOW03502ST","3.99","3.99","5","5","5","5","8.90","8.90",,"8.90"
"9122","BT1305B","H-TOW03502WH","3.99","3.99","5","5","5","5","8.90","8.90",,"8.90"
"9123","BT1297C","H-TOW03503APP","8.99","8.99","11.99","11.99","11.99","11.99","13.90","13.90",,"13.90"
"9124","BT1298C","H-TOW03503BUR","8.99","8.99","11.99","11.99","11.99","11.99","13.90","13.90",,"13.90"
"9125","BT1299C","H-TOW03503CH","8.99","8.99","11.99","11.99","11.99","11.99","13.90","13.90",,"13.90"
"9126","BT1300C","H-TOW03503GRE","8.99","8.99","11.99","11.99","11.99","11.99","13.90","13.90",,"13.90"
"9127","BT1301C","H-TOW03503HON","8.99","8.99","11.99","11.99","11.99","11.99","13.90","13.90",,"13.90"
